ITEMBMBR,itemdesc,COSTO_ACT,ULTIMO_COSTO,MODIFDT,ITMCLSCD,PORCENTAJE,METODO_PRECIO,UOFM,QTYBSUOM,PRECIO_UC,PRECIO_CA,PVP,USCATVLS_4
ANAT0080,FOSA NASAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0081,GANGLIO LINFATICO (CERVIVAL E INGUINAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0082,"GANGLIO LINFATICO, TRUCUT","0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0083,GANGLION,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0084,GLANDULA DE BARTHOLINO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0085,"GLANDULA SALIVAL (PAROTIDA, SUBLINGUAL Y SUBMAXILAR)","0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0086,HEMORROIDES,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0087,HERNIA (CUALQUIER TIPO),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0088,HERNIA DISCAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0089,HIGADO (CUNA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0090,HIGADO (PUNCION),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0091,HIGADO(HEPATECTOMIA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0092,HIPOFISIS,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0093,HUESO (LESION PEQUENA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0094,ILEON,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0095,INTESTINO DELGADO (RESECCION),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0096,LABIO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0097,LARINGE,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0098,LAVADO BRONQUIAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0099,LEGRADO UTERINO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0100,LENGUA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0101,LENGUA (GLOSECTOMIA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0102,LESION PERIANAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0103,LIGAMENTO AMARILLO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0104,LIPOMA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0105,MAMA (NODULOS),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0106,MAMA (TRUCUT),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0107,MAMA BIOPSIA ESTEREOTAXICA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0108,MASTECTOMIA + VACIAMIENTO CONDIC TUMORAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0109,MASTECTOMIA PARCIAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0110,MASTECTOMIA RADICAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0111,MASTECTOMIA(CONDICION NO TUMORALC/U),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0112,MEATO URETRAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0113,MEDIASTINO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0114,MEDIASTINO (RESECCION),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0115,MEDULA ESPINAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0116,MEDULA OSEA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0117,MENINGE,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0118,MIOCARDIO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0119,MIOMA UTERINO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0120,NERVIO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0121,OIDO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0122,OJO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0123,OJO TOTAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0124,OJO Y ANEXOS,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0125,OVARIO (CONDICION TUMORAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0126,OVARIO (CUNA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0127,OVARIO(CONDICION NO TUMORAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0128,PANCREAS (BIOPSIA PEQUENA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0129,PANCREATECTOMIA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0130,PAPILA DE VATER,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0131,PARATIROIDES,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0132,"PAROTIDA, NODULECTOMIA","0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0133,"PAROTIDA, PAROTIDECTOMIA","0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0134,"PAROTIDA, TRUCUT","0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0135,PARTES BLANDAS,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0136,PARTES BLANDAS TUMORAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0137,PENE (BIOPSIA PEQUE#A),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0138,PENE (CONDICION TUMORAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0139,"PENE, PENECTOMIA","0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0140,PERICARDIO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0141,PERICARDIO RESECCION,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0142,PERICARDIO TUMORAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0143,PERITONEO BX,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0144,PERITONEO RESECCION,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0145,PERITONEO TUMORAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0146,PIEL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0147,PLACENTA,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0148,PLEURA (BIOPSIA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0149,PLEURA DE CORTICACION,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0150,PLEURA RESECCION,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0151,PLEURA TUMORAL,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0152,POLIPOS PEQUENOS,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0153,PREPUCIO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0154,PROSTATA (PUNCION)XFRASCO,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0155,PROSTATECTOMIA(COND. NO TUMORAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0156,PROSTATECTOMIA(COND.TUMORAL),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0157,PULMON (CUNA),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0158,"PULMON (LOBECTOMIA,SEGMENTECTOMIA)","0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0159,PULMON (NODULO),"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
ANAT0160,QUISTE,"0,00",,,ANAT       ,"476,00",MONTO MONETARIO,UNISERV  ,"1,00000",,"0,00","476,00",SMGeneral  
