CODIGO;DESCRIPCION;Present.;PRECIO
CIRUGIA CARDIO VASCULAR;CARDIO-037 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO POPLITEO UNILATERAL CON SAFENA;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-038 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO POPLITEO UNILATERAL CON SAFENA MAS ENDARTERECTOMI;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-039 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO POPLITEO BILATERAL CON SAFENA;PUNTOS;4.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-040 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO POPLITEO BILATERAL CON SAFENA MAS ENDARTERECTOMIA;PUNTOS;4.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-041 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO TIBIAL UNILATERAL CON SAFENA;PUNTOS;3.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-042 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO TIBIAL UNILATERAL CON SAFENA MAS ENDARTERECTOMIA;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-043 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO TIBIAL BILATERAL CON SAFENA;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-044 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO TIBIAL BILATERAL CON SAFENA MAS ENDARTERECTOMIA;PUNTOS;4.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-045 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO TIBIAL UNILATERAL CON PROTESIS MAS ENDARTERECTOMI;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-046 PROCEDIMIENTOS ARTERIALES BYPASS FEMORO TIBIAL BILATERAL CON PROTESIS MAS ENDARTERECTOMIA;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-047 PROCEDIMIENTOS ARTERIALES BYPASS ULTRADISCAL COMPUESTO UNILATERAL;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-048 PROCEDIMIENTOS ARTERIALES BYPASS ULTRADISCAL COMPUESTO BILATERAL;PUNTOS;4.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-049 PROCEDIMIENTOS ARTERIALES BYPASS SUBCLAVIO FEMORAL UNILATERAL;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-050 PROCEDIMIENTOS ARTERIALES BYPASS SUBCLAVIO FEMORAL BILATERAL;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-051 PROCEDIMIENTOS ARTERIALES BYPASS HUMERO HUMERAL CON SAFENA;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-052 PROCEDIMIENTOS ARTERIALES BYPASS HUMERO HUMERAL CON RPOTESIS;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-053 PROCEDIMIENTOS ARTERIALES BYPASS HUMERO RADIAL CON SAFENA;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-054 PROCEDIMIENTOS ARTERIALES BYPASS HUMERO RADIAL CON PROTESIS;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-055 PROCEDIMIENTOS ARTERIALES BYPASS SUBCLAVIO SUBCLAVIA CON SAFENA;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-056 PROCEDIMIENTOS ARTERIALES BYPASS SUBCLAVIO SUBCLAVIA CON PROTESIS;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-057 PROCEDIMIENTOS ARTERIALES BYPASS SUBCLAVIO HUMERAL CON SAFENA;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-058 PROCEDIMIENTOS ARTERIALES BYPASS SUBCLAVIO HUMERAL CON PROTESIS;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-059 PROCEDIMIENTOS ARTERIALES FAV PARA DIALISIS;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-060 PROCEDIMIENTOS ARTERIALES CIERRE DE FAV;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-061 PROCEDIMIENTOS ARTERIALES CURA OPERATORIA DE FAV;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-062 PROCEDIMIENTOS ARTERIALES COLOCACION DE CATETER BILUMEN PARA HEMODIALISIS;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-063 PROCEDIMIENTOS ARTERIALES COLOCACION DE CATETER PERMANCATH PARA HEMODIALISIS;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-064 PROCEDIMIENTOS ARTERIALES EMBOLECTOMIA AORTICA;PUNTOS;2.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-065 PROCEDIMIENTOS ARTERIALES EMBOLECTOMIA FEMORAL UNILATERAL;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-066 PROCEDIMIENTOS ARTERIALES EMBOLECTOMIA FEMORAL BILATERAL;PUNTOS;2.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-067 PROCEDIMIENTOS ARTERIALES EMBOLECTOMIA POPLITEA UNILATERAL;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-068 PROCEDIMIENTOS ARTERIALES EMBOLECTOMIA POPLITEA BILATERAL;PUNTOS;2.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-069 PROCEDIMIENTOS ARTERIALES ENDARTERECTOMIA SIMPLE PERIFERICA;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-070 PROCEDIMIENTOS ARTERIALES ENDARTERECTOMIA MAS ARTERIOPLASTIA;PUNTOS;2.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-071 PROCEDIMIENTOS ARTERIALES ENDARTERECTOMIA SIMPLE INTRAABDOMINAL;PUNTOS;2.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-072 PROCEDIMIENTOS ARTERIALES ENDOANEURISMORRAFIA ABDOMINAL ELECTIVO;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-073 PROCEDIMIENTOS ARTERIALES ENDOANEURISMORRAFIA ABDOMINAL EMERGENCIA;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-074 PROCEDIMIENTOS ARTERIALES SIMPACTECTOMIA PERIARTERIAL PERIFERICA;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-075 PROCEDIMIENTOS ARTERIALES SIMPACTECTOMIA LUMBAR;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-076 PROCEDIMIENTOS ARTERIALES FASCIOTOMIA DESCOMPRESIVA UNILATERAL;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-077 PROCEDIMIENTOS ARTERIALES FASCIOTOMIA DESCOMPRESIVA BILATERAL;PUNTOS;2.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-078 PROCEDIMIENTOS ARTERIALES AMPUTACION DE MIEMBRO SUPERIOR O INFERIOR UNILATERAL;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-079 PROCEDIMIENTOS ARTERIALES AMPUTACION DE MIEMBRO SUPERIOR O INFERIOR BILATERAL;PUNTOS;3.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-080 PROCEDIMIENTOS CENTRALES CURA DE PCA;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-081 PROCEDIMIENTOS CENTRALES IMPLANTE DE MCP DEFINITIVO;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-082 PROCEDIMIENTOS CENTRALES CAMBIO DE ELECTRODO DE MCP;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-083 PROCEDIMIENTOS CENTRALES CAMBIO DE GENERADOR DE MCP;PUNTOS;2.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-084 PROCEDIMIENTOS CENTRALES PERICARDIOCENTESIS;PUNTOS;1.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-085 PROCEDIMIENTOS CENTRALES PERICARDIOTOMIA;PUNTOS;4.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-086 PROCEDIMIENTOS CENTRALES PERICARDIETOMIA;PUNTOS;520
CIRUGIA CARDIO VASCULAR;CARDIO-087 PROCEDIMIENTOS CENTRALES OPERCULO TORAXICO;PUNTOS;4.667,00
CIRUGIA CARDIO VASCULAR;CARDIO-088 PROCEDIMIENTOS CENTRALES CIRUGIA CARDIACA (CASOS NO COMPLICADOS);PUNTOS;1.040,00
CIRUGIA CARDIO VASCULAR;CARDIO-089 DOBLE REEMPLAZO VALVULAR Y CASOS COMPLICADOS;PUNTOS;13.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-090 CIRUGIA CARDIOVASCULAR BYPASS CORONARIO A CORAZON BATIENTE POR TORACOTOMIA IZQUIERDA;PUNTOS;10.000,00
CIRUGIA CARDIO VASCULAR;CARDIO-091 BY PASS CORONARIO MAS REEMPLAZO VALVULAR;PUNTOS;13.333,00
CIRUGIA CARDIO VASCULAR;CARDIO-092 MIXOMA AUDICULAR;PUNTOS;6.667,00
CIRUGÕA DE TORAX;NEUMO-001 FIBROBRONCOSCOPIA (QUIROFANO - CONSULTORIO);PUNTOS;273
CIRUGÕA DE TORAX;NEUMO-004 TORACOTOMIA MINIMA CON TUBO DE TORAX;PUNTOS;300
CIRUGÕA DE TORAX;NEUMO-005 CIRUGIA DE TORAX FIBROBRONCOSPIA PARA LAVADO BRONQUIAL O CEPILLADO BRONQUIAL O BX BRONQUIA;PUNTOS;683
CIRUGÕA DE TORAX;NEUMO-014 PLEURESIS QUIMICA;PUNTOS;620
CIRUGÕA DE TORAX;TORAX-001 BLOQUEO INTERCOSTAL;PUNTOS;225
CIRUGÕA DE TORAX;TORAX-002 BIOPSIA DE GANGLIO CERVICAL (OTRO GANGLIO);PUNTOS;65
CIRUGÕA DE TORAX;TORAX-003 EXTIRPACION FIBROADENOMA UNILATERAL;PUNTOS;390
CIRUGÕA DE TORAX;TORAX-004 EXTIRPACION FIBROADENOMA BILATERAL;PUNTOS;522
CIRUGÕA DE TORAX;TORAX-005 EXTIRPACION FIBROADENOMAS UNILATERALES;PUNTOS;522
CIRUGÕA DE TORAX;TORAX-006 EXTIRPACION FIBROADENOMAS BILATERALES;PUNTOS;620
CIRUGÕA DE TORAX;TORAX-007 DRENAJE DE MAMAS (ABSCESO-CELULITIS);PUNTOS;375
CIRUGÕA DE TORAX;TORAX-008 BIOPSIA DE PARED TORACICA;PUNTOS;225
CIRUGÕA DE TORAX;TORAX-009 TRAQUEOSTOMIA;PUNTOS;700
CIRUGÕA DE TORAX;TORAX-010 TORACOCENTESIS;PUNTOS;200
CIRUGÕA DE TORAX;TORAX-011 PUNCION TRANSTORACICA;PUNTOS;225
CIRUGÕA DE TORAX;TORAX-012 PUNCION TRANSTRAQUELA;PUNTOS;225
CIRUGÕA DE TORAX;TORAX-013 TIROIDECTOMIA SUBTOTAL UNILATERAL CON BOCIO INTRATORACICO;PUNTOS;1.100,00
CIRUGÕA DE TORAX;TORAX-014 TIROIDECTOMIA SUBTOTAL BILATERAL CON BOCIO INTRATORACICO;PUNTOS;1.200,00
CIRUGÕA DE TORAX;TORAX-015 TIROIDECTOMIA TOTAL CON BOCIO INTRATORACICO;PUNTOS;1.300,00
CIRUGÕA DE TORAX;TORAX-016 EXTIRPACION DE QUISTE BRONQUIAL;PUNTOS;450
CIRUGÕA DE TORAX;TORAX-017 EXTIRPACION DE QUISTE TIROGLOSO;PUNTOS;875
CIRUGÕA DE TORAX;TORAX-018 TORACOTOMIA MINIMA CON TUBO DE TORAX;PUNTOS;300
CIRUGÕA DE TORAX;TORAX-019 TORACOTOMIA PARA BX DE PULMON;PUNTOS;965
CIRUGÕA DE TORAX;TORAX-020 TORACOTOMIA PARA LOBECTOMIA PULMONAR;PUNTOS;1.377,00
CIRUGÕA DE TORAX;TORAX-021 TORACOTOMIA PARA SEGMENTECTOMIA PULMONAR;PUNTOS;1.268,00
CIRUGÕA DE TORAX;TORAX-022 TORACOTOMIA PARA NEUMONECTOMIA;PUNTOS;1.572,00
CIRUGÕA DE TORAX;TORAX-023 TORACOPLASTIA;PUNTOS;1.287,00
CIRUGÕA DE TORAX;TORAX-024 TORACOTOMIA Y ENTALCAMIENTO;PUNTOS;965
CIRUGÕA DE TORAX;TORAX-025 TORACOTOMIA PARA TUMOROIDECTOMIA INTRAPULMONAR;PUNTOS;1.170,00
CIRUGÕA DE TORAX;TORAX-026 TORACOTOMIA PARA METASTASECTOMIA (UNICA) INTRAPULMONAR;PUNTOS;1.170,00
CIRUGÕA DE TORAX;TORAX-027 TORACOTOMIA PARA METASTASECTOMIA (MULTIPLE) INTRAPULMONAR;PUNTOS;1.463,00
CIRUGÕA DE TORAX;TORAX-028 TORACOTOMIA PARA PLEURO-NEUMONECTOMIA;PUNTOS;1.950,00
CIRUGÕA DE TORAX;TORAX-029 TORACOTOMIA PARA RESECCION DE BULAS SUBPLEURALES Y CORRECCION DE FISTULA BRANQUIAL;PUNTOS;1.268,00
CIRUGÕA DE TORAX;TORAX-030 MEDIASTINOSCOPIA PARA BX;PUNTOS;620
CIRUGÕA DE TORAX;TORAX-031 MEDIASTINOTOMIA PARA BX;PUNTOS;620
CIRUGÕA DE TORAX;TORAX-032 RESECCION DE TUMOR DE MEDIASTINO;PUNTOS;1.610,00
CIRUGÕA DE TORAX;TORAX-033 TORACOTOMIA PARA BX DE TUMOR DE MEDIASTINO;PUNTOS;1.073,00
CIRUGÕA DE TORAX;TORAX-034 TORACITOMIA PARA BX DE TUMOR EXTRAPULMONAR NO MEDIASTINAL;PUNTOS;878
CIRUGÕA DE TORAX;TORAX-035 TORACOTOMIA PARA DEFORMIDAD DE TORAX;PUNTOS;800
CIRUGÕA DE TORAX;TORAX-036 TORACOTOMIA PARA CIRUGIA DE ESOFAGO;PUNTOS;1.733,00
CIRUGÕA DE TORAX;TORAX-037 CIRUGIA DE TORAX TORACOTOMIA PARA CORRECCION DE FISTULAS ESOFAGICAS;PUNTOS;1.463,00
CIRUGÕA DE TORAX;TORAX-038 CIRUGIA DE TORAX TORACOTOMIA PARA CORRECCION DE FISTULAS TRAQUEALES;PUNTOS;1.170,00
CIRUGÕA DE TORAX;TORAX-039 CIRUGIA DE TORAX TORACOTOMIA PARA PLEURECTOMIA PARCIAL;PUNTOS;1.377,00
CIRUGÕA DE TORAX;TORAX-040 CIRUGIA DE TORAX TORACOTOMIA PARA FLEURECTOMIA TOTAL;PUNTOS;1.572,00
CIRUGÕA DE TORAX;TORAX-041 CIRUGIA DE TORAX TORACOTOMIA PARA RESECCION DE TUMOR DE COSTILLA;PUNTOS;965
CIRUGÕA DE TORAX;TORAX-042 CIRUGIA DE TORAX VIDEO-TORACOSCOPIA PARA BX DE PULMON;PUNTOS;965
CIRUGÕA DE TORAX;TORAX-043 CIRUGIA DE TORAX VIDEO-TORACOSCOPIA PARA BX DE TU DE MEDIASTINO;PUNTOS;1.073,00
CIRUGÕA DE TORAX;TORAX-044 CIRUGIA DE TORAX VIDEO-TORASCOSCOPIA PARA BX DE TU. EXTRAPULMONAR NO MEDIASTINAL;PUNTOS;878
CIRUGÕA DE TORAX;TORAX-045 CIRUGIA DE TORAX TORACOTOMIA PARA DECORTICACION DE PULMON;PUNTOS;1.268,00
CIRUGÕA DE TORAX;TORAX-046 CIRUGIA DE TORAX DIVISION Y SUTURA DE PERSISTENCIA DEL CONDUVTO ARTERIOSO;PUNTOS;1.950,00
CIRUGÕA DE TORAX;TORAX-047 CIRUGIA DE TORAX TORACOTOMIA PARA PERICARDIECTOMIA SUB TOTAL;PUNTOS;1.733,00
CIRUGÕA DE TORAX;TORAX-048 CIRUGIA DE TORAX TORACOTOMIA PARA PERICARDIECTOMIA TOTAL;PUNTOS;1.950,00
CIRUGÕA DE TORAX;TORAX-049 CIRUGIA DE TORAX TORACOTOMIA PARA VENTANA PERICARDICA;PUNTOS;1.073,00
CIRUGÕA DE TORAX;TORAX-050 CIRUGIA DE TORAX VENTANA PERICARDICA SUBXIOFOIDEA CON ANESTESIA LOCAL;PUNTOS;488
CIRUGÕA DE TORAX;TORAX-051 CIRUGIA DE TORAX TORACTOMIA PARA LIBERACION P0R SINDROME DE SALIDA TORACICO;PUNTOS;1.610,00
CIRUGÕA DE TORAX;TORAX-052 CIRUGIA DE TORAX PLEUDESIS QUIMICA;PUNTOS;620
CIRUGÕA DE TORAX;TORAX-053 CIRUGIA DE TORAX FIBROBRONCOSPIA PARA LAVADO BRONQUIAL O CEPILLADO BRONQUIAL O BX BRONQUIA;PUNTOS;683
CIRUGÕA DE TORAX;TORAX-054 CIRUGIA DE TORAX BRONCOSCOPIA RIGIDA PARA EXTRACCION DE CUERP0 EXTRA—O;PUNTOS;683
CIRUGÕA DE TORAX;TORAX-055 CIRUGIA DE TORAX TORACOTOMIA EXPLORADORA CON LESION: TRANQUEAL;PUNTOS;1.170,00
CIRUGÕA DE TORAX;TORAX-056 CIRUGIA DE TORAX EMERGENCIA BRONQUIAL;PUNTOS;1.170,00
CIRUGÕA DE TORAX;TORAX-057 CIRUGIA DE TORAX PULMONAR;PUNTOS;965
CIRUGÕA DE TORAX;TORAX-058 CIRUGIA DE TORAX ESOFAGICA;PUNTOS;1.463,00
CIRUGÕA DE TORAX;TORAX-059 CIRUGIA DE TORAX PERICARDICA;PUNTOS;1.463,00
CIRUGÕA DE TORAX;TORAX-060 CIRUGIA DE TORAX CARDIACA;PUNTOS;1.733,00
CIRUGÕA DE TORAX;TORAX-061 CIRUGIA DE TORAX VASCULAR;PUNTOS;1.463,00
CIRUGÕA DE TORAX;TORAX-062 CIRUGIA DE TORAX DIAFRAGMATICA;PUNTOS;1.463,00
CIRUGÕA DE TORAX;TORAX-063 CIRUGIA DE TORAX PARED TORACICA;PUNTOS;965
CIRUGÕA DE TORAX;TORAX-064 CIRUGIA DE TORAX VARIAS LESIONES;PUNTOS;1.950,00
CIRUGÕA DE TORAX;TORAX-065 CIRUGIA DE TORAX TORACOTOMIA PARA CORRECCION DE HERNIA DIAFRAGMATICO;PUNTOS;1.463,00
CIRUGÕA DE TORAX;TORAX-066 CIRUGIA DE TORAX TORACOTOMIA PARA CORRECCION DE QUISTE BRONQUIAL;PUNTOS;1.463,00
CIRUGÕA DE TORAX;TRAU-160 HOMBRO: REPARACION ABIERTA DE LUXACION RECIDIVANTE DE HOMBRO CUALQIUIER TECNICA;PUNTOS;780
CIRUGIA ESTETICA;E001 - RITIDECTOMIA;PUNTOS;1.800,00
CIRUGIA ESTETICA;E002 - RITIDECTOMIA CON BLEFAROPLASTIA;PUNTOS;2.000,00
CIRUGIA ESTETICA;E003 - MAMOPLASTIA DE AUMENTO;PUNTOS;1.500,00
CIRUGIA ESTETICA;E004 - MAMOPLASTIA DE AUMENTO CON SUSPENSION;PUNTOS;1.800,00
CIRUGIA ESTETICA;E005 - SUSPENSION MAMARIA;PUNTOS;1.500,00
CIRUGIA ESTETICA;E006 - MAMOPLASTIA DE REDUCCION;PUNTOS;1.800,00
CIRUGIA ESTETICA;E007 - DERMOLIPECTOMIA ABDOMINAL;PUNTOS;1.500,00
CIRUGIA ESTETICA;E008 - DERMOLIPECTOMIA MUSLOS;PUNTOS;1.500,00
CIRUGIA ESTETICA;E009 - DERMOLIPECTOMIA DE BRAZOS;PUNTOS;1.500,00
CIRUGIA ESTETICA;E010 - RINOPLASTIA;PUNTOS;1.500,00
CIRUGIA ESTETICA;E011 - BLEFAROPLASTIA;PUNTOS;1.200,00
CIRUGIA ESTETICA;E012 - OTOPLASTIA;PUNTOS;1.200,00
CIRUGIA ESTETICA;E013 - LIPOSUCCION ABDOMINAL Y TRONCO;PUNTOS;1.200,00
CIRUGIA ESTETICA;E014 - LIPOSUCCION DE MUSLOS;PUNTOS;1.200,00
CIRUGIA ESTETICA;E015 - MAMOPLASTIA DE AUMENTO + DERMOLIPECTOMIA;PUNTOS;2.500,00
CIRUGIA ESTETICA;E016 - MAMOPLASTIA DE AUMENTO + LIPOSUCCION;PUNTOS;2.500,00
CIRUGIA ESTETICA;E017 - MAMOPLASTIA DE REDUCCION + DERMOLIPECTOMIA;PUNTOS;2.500,00
CIRUGIA ESTETICA;E018 - DERMOLIPECTOMIA + LIPOSUCCION;PUNTOS;2.000,00
CIRUGIA ESTETICA;E019 - INFILTRACION GRASA (ADICIONAL A LIPOSUCION);PUNTOS;600
CIRUGIA ESTETICA;E020 - RINOPLASTIA + BLEFAROPLASTIA;PUNTOS;1.800,00
CIRUGIA ESTETICA;E021- RINOPLASTIA - LIPOSUCCION ABDOMINAL Y TRONCO - INFILTRACION GRASA (ADICIONAL A LIPOSUCION);PUNTOS;2.200,00
CIRUGIA ESTETICA;E022 - CURA OPERATORIA DE DIASTASIS DE RECTOS;PUNTOS;1.800,00
